

*******************************************************************************
Ephemeris / WWW_USER Tue Apr 14 10:13:30 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Artemis II (spacecraft) (-1024) {source: Artemis_II_merged}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2026-Apr-02 01:58:33.0000 TDB
Stop  time      : A.D. 2026-Apr-10 23:54:22.0000 TDB
Step-size       : 15 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
EOP file        : eop.260413.p260710
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2026-APR-13. PREDICTS-> 2026-JUL-09
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2461132.582326389, A.D. 2026-Apr-02 01:58:33.0000, -2.444380199178298E+04, -1.432558855143395E+04, -1.284412074714483E+03, -1.843786941776280E+00, -3.873575971779941E+00, -3.363757692828204E-01,
2461132.592743055, A.D. 2026-Apr-02 02:13:33.0000, -2.594509877872685E+04, -1.771365596062403E+04, -1.578491024343105E+03, -1.505896304045928E+00, -3.658968469887114E+00, -3.173480939175004E-01,
2461132.603159722, A.D. 2026-Apr-02 02:28:33.0000, -2.717536803563279E+04, -2.091777703972007E+04, -1.856184939615227E+03, -1.237742849751446E+00, -3.464458414718095E+00, -3.000428511459925E-01,
2461132.613576389, A.D. 2026-Apr-02 02:43:33.0000, -2.818781653439621E+04, -2.395496794343054E+04, -2.119055896118929E+03, -1.019106815093668E+00, -3.287572548973047E+00, -2.843640986355640E-01,
2461132.623993055, A.D. 2026-Apr-02 02:58:33.0000, -2.902056108367017E+04, -2.683992645212149E+04, -2.368453053283878E+03, -8.366165349209806E-01, -3.125761114270601E+00, -2.700627246599283E-01,
2461132.634409722, A.D. 2026-Apr-02 03:13:33.0000, -2.970137999850057E+04, -2.958527111370514E+04, -2.605559481996939E+03, -6.794306616386830E-01, -2.977002541149153E+00, -2.570004448973504E-01,
2461132.644826389, A.D. 2026-Apr-02 03:28:33.0000, -3.024971872704525E+04, -3.220228181842888E+04, -2.832958686270606E+03, -5.304739050367886E-01, -2.839654125686916E+00, -2.457497212127638E-01,
2461132.655243055, A.D. 2026-Apr-02 03:43:33.0000, -3.067324400809508E+04, -3.469940280639571E+04, -3.048981594996963E+03, -4.131906557478479E-01, -2.710940445193351E+00, -2.344298698488650E-01,
2461132.665659722, A.D. 2026-Apr-02 03:58:33.0000, -3.099752019847608E+04, -3.708438212356232E+04, -3.255147823581536E+03, -3.094608928483692E-01, -2.590258865258521E+00, -2.238285849804775E-01,
